tipo_solicitacao,ticket_id,canal,prioridade,summary,predicted_category
Reclamação,TKT0001,Telefone,Baixa,O cliente fez uma reclamação por telefone. A prioridade do chamado é baixa. Não foram fornecidos detalhes específicos sobre a natureza da reclamação.,Informação/Dúvida
Suporte técnico,TKT0002,E-mail,Baixa,"O chamado solicita suporte técnico por e-mail. A prioridade é baixa, indicando que a questão não é urgente. O motivo específico do suporte não foi detalhado no texto.",Solicitação de Serviço
Feedback,TKT0003,WhatsApp,Baixa,O usuário enviou um feedback através do WhatsApp. A prioridade do chamado é baixa. Não foram especificados detalhes adicionais sobre o feedback.,Informação/Dúvida
Reclamação,TKT0004,Chat,Baixa,O usuário registrou uma reclamação através do chat. A prioridade do chamado é baixa. Não foram fornecidos detalhes específicos sobre a natureza da reclamação.,Informação/Dúvida
Reclamação,TKT0005,Portal,Baixa,O usuário registrou uma reclamação através do portal. A prioridade do chamado é baixa. Não foram fornecidos detalhes específicos sobre a natureza da reclamação.,Informação/Dúvida
Feedback,TKT0006,Chat,Alta,"O usuário enviou um feedback através do chat, indicando que possui uma questão a ser discutida. A prioridade do chamado é alta, sugerindo que a situação é urgente. Não foram fornecidos detalhes específicos sobre o conteúdo do feedback.",Informação/Dúvida
Suporte técnico,TKT0007,Telefone,Média,O usuário solicitou suporte técnico por telefone. A prioridade do chamado é média. Não foram fornecidos detalhes específicos sobre o problema.,Solicitação de Serviço
Reclamação,TKT0008,Telefone,Média,"O cliente fez uma reclamação por telefone, expressando insatisfação com um serviço ou produto. A prioridade do chamado foi classificada como média. Não foram fornecidos detalhes específicos sobre a natureza da reclamação.",Solicitação de Serviço
Feedback,TKT0009,Telefone,Baixa,O chamado é um feedback recebido por telefone. A prioridade é baixa e não há solicitação específica. O cliente pode estar buscando uma forma de comunicação ou melhoria.,Informação/Dúvida
Suporte técnico,TKT0010,Telefone,Alta,"O usuário está solicitando suporte técnico por telefone. A prioridade do chamado é alta, indicando a urgência da situação. É necessário resolver a questão rapidamente para evitar maiores problemas.",Solicitação de Serviço
Dúvida,TKT0011,WhatsApp,Média,O usuário entrou em contato pelo WhatsApp para esclarecer uma dúvida. A prioridade do chamado é média. Não foram fornecidos detalhes específicos sobre a dúvida em questão.,Informação/Dúvida
Feedback,TKT0012,Portal,Baixa,"O usuário enviou um feedback através do portal, indicando sua opinião sobre um serviço ou produto. A prioridade do chamado é baixa, sugerindo que não é uma questão urgente. O conteúdo específico do feedback não foi detalhado.",Informação/Dúvida
Dúvida,TKT0013,Portal,Média,O usuário está buscando esclarecimentos sobre um assunto específico. A dúvida foi registrada através do portal. A prioridade do chamado é média.,Informação/Dúvida
Feedback,TKT0014,E-mail,Média,"O chamado é um feedback enviado por e-mail, com prioridade média. O usuário não especifica detalhes sobre o conteúdo do feedback. É necessário avaliar o feedback para possíveis melhorias ou ajustes.",Informação/Dúvida
Suporte técnico,TKT0015,Portal,Média,O usuário está solicitando suporte técnico através do portal. A prioridade do chamado é média. Não foram fornecidos detalhes específicos sobre o problema.,Solicitação de Serviço
Solicitação de serviço,TKT0016,E-mail,Alta,"O usuário solicitou um serviço específico por e-mail. A prioridade da solicitação é alta, indicando a necessidade de uma resposta rápida. Detalhes adicionais sobre o serviço solicitado não foram fornecidos.",Solicitação de Serviço
Reclamação,TKT0017,Portal,Média,"O usuário registrou uma reclamação através do portal, indicando insatisfação com um serviço ou produto. A prioridade do chamado foi classificada como média. Detalhes adicionais sobre a reclamação não foram fornecidos.",Solicitação de Serviço
Feedback,TKT0018,Chat,Média,O chamado é um feedback enviado pelo usuário através do chat. A prioridade do chamado é média. Não há solicitação específica ou dúvida apresentada.,Informação/Dúvida
Feedback,TKT0019,E-mail,Baixa,O chamado é um feedback enviado por e-mail. A prioridade é baixa. Não foram especificados detalhes adicionais sobre o conteúdo do feedback.,Informação/Dúvida
Feedback,TKT0020,Telefone,Baixa,O chamado é um feedback recebido por telefone. A prioridade é baixa e não há solicitação específica. O cliente parece estar compartilhando suas impressões sobre um serviço ou produto.,Informação/Dúvida
Reclamação,TKT0021,WhatsApp,Alta,"O usuário registrou uma reclamação através do WhatsApp, indicando que está enfrentando um problema que requer atenção imediata. A prioridade do chamado é alta, sugerindo que a situação é urgente. Detalhes adicionais sobre a natureza da reclamação não foram fornecidos.",Falha de Sistema
Dúvida,TKT0022,Telefone,Baixa,O usuário entrou em contato por telefone para esclarecer uma dúvida. A prioridade do chamado é baixa. Não foram fornecidos detalhes adicionais sobre a dúvida em questão.,Informação/Dúvida
Suporte técnico,TKT0023,E-mail,Média,O chamado solicita suporte técnico por e-mail. A prioridade do atendimento é média. O cliente busca assistência para resolver um problema técnico específico.,Solicitação de Serviço
Feedback,TKT0024,Telefone,Baixa,O chamado é um feedback recebido por telefone. A prioridade é baixa e não há solicitação específica. O cliente pode estar buscando compartilhar uma experiência ou opinião sobre o serviço.,Informação/Dúvida
